codice_sta,denominazi,tipo_staz,sigla_pro,provincia,quota,data_inizi,data_fine,codice_ist,utm_x,utm_y
"429",ALBA TANARO,HIPRTVJ,CN,Cuneo,172,"2007","2016","4003900","423047","4950863"
"178",ALESSANDRIA BORMIDA,IJ,AL,Alessandria,96,"2000","2012","6003901","472097","4972713"
S6833,ALESSANDRIA TANARO,IJ,AL,Alessandria,96,"2015","2016","6003902","468597","4973449"
S3931,ANDONNO GESSO,IPJ,CN,Cuneo,712,"2008","2016","4233901","375159","4905569"
"214",ARQUATA SCRIVIA Q:A:,IQJ,AL,Alessandria,240,"2001","2007","6009700","493097","4945615"
"138",ASTI TANARO,HIPTJ,AT,Asti,117,"2004","2016","5005900","437873","4970662"
S4059,BACENO DEVERO,IJ,VB,Verbano-Cusio-Ossola,625,"2007","2012","3010901","447267","5123602"
"226",BASALUZZO ORBA,IJ,AL,Alessandria,125,"2001","2016","6012700","474101","4957372"
"401",BEAULARD DORA DI BARDONECCHIA,ITJ,TO,Torino,1149,"2002","2016","1175902","323529","4990782"
S3225,BORGHETTO DI BORBERA BORBERA,I,AL,Alessandria,263,"2004","2007","6018900","494160","4952329"
"321",BORGOMALE BELBO,IJ,CN,Cuneo,334,"2000","2000","4024900","432223","4940451"
"413",BORGOSESIA SESIA,IPJ,VC,Vercelli,371,"2009","2016","2016901","442551","5065261"
"413",BORGOSESIA SESIA,IPJ,VC,Vercelli,359,"2004","2007","2016900","443884","5062551"
"373",BRANDIZZO MALONE,IPTJ,TO,Torino,192,"2002","2016","1034700","409882","5004010"
"421",BUSCA MAIRA,IJ,CN,Cuneo,500,"2003","2016","4034900","379385","4930399"
"444",CALTIGNAGA TERDOPPIO,IJ,NO,Novara,180,"2003","2016","3030900","469614","5040849"
"208",CAMERANA BORMIDA,IJ,CN,Cuneo,360,"1995","2016","4035700","432986","4920844"
S3226,CAMPERTOGNO SESIA,IJ,VC,Vercelli,820,"2003","2016","2025900","424843","5072324"
"604",CANDOGLIA TOCE,IPTJ,VB,Verbano-Cusio-Ossola,201,"2000","2016","3096900","455291","5091605"
S4982,CANTOIRA STURA DI VAL GRANDE,IJ,TO,Torino,728,"2010","2016","1054900","373377","5022129"
"419",CARDE  PO,IJ,CN,Cuneo,258,"2003","2003","4042900","379627","4956278"
"412",CARIGNANO PO,IJ,TO,Torino,240,"2007","2016","1058900","396763","4973852"
"377",CARISIO ELVO,IJ,VC,Vercelli,183,"2002","2016","2032700","438077","5029958"
"383",CARRU  PESIO,IPTJ,CN,Cuneo,275,"2002","2016","4043700","411221","4924307"
"284",CARTOSIO ERRO,IJ,AL,Alessandria,236,"2003","2016","6036900","454121","4935927"
"430",CASAL CERMELLI ORBA,GIJ,AL,Alessandria,102,"2003","2016","6037900","470953","4964651"
"440",CASALE MONFERRATO PO,IJ,AL,Alessandria,115,"2009","2016","6039901","456657","4999051"
"431",CASSINE BORMIDA,IJ,AL,Alessandria,123,"2007","2016","6043900","463868","4955633"
"233",CASSINE BORMIDA Q:A:,IQJ,AL,Alessandria,123,"1995","2006","6043700","463868","4955632"
"427",CASTELNUOVO BELBO,IJ,AT,Asti,122,"2003","2016","5029900","454121","4960917"
S2422,CASTIGLIONE TORINESE PO,IJ,TO,Torino,215,"2003","2016","1068700","404509","4998360"
"387",CESSOLE BORMIDA,IJ,AT,Asti,200,"2002","2016","5037700","440553","4944472"
S2423,CHIVASSO PO,I,TO,Torino,209,"2004","2005","1082701","412893","5003861"
S3735,CORTEMILIA UZZONE,IJ,CN,Cuneo,264,"2008","2013","4073900","436245","4936687"
S3224,COSSATO STRONA,IJ,BI,Biella,255,"2004","2016","2046900","436329","5046678"
"473",CRESCENTINO PO,IJ,TO,Torino,158,"2013","2016","2049900","429362","5003439"
S5615,CRISSOLO PO,IPTJ,CN,Cuneo,1342,"2010","2016","4077902","353800","4951471"
